[0 "nothing_item"]
[1 "???"]
[2 "???"]
[3 "???"]
[4 "???"]
[5 "???"]
[6 "Dimi Moonburst"]
[7 "Diamond Dimi Moonburst"]
[8 "Opal Dimi Moonburst"]
[9 "Sapphire Dimi Moonburst"]
[10 "Ruby Dimi Moonburst"]
[11 "Garnet Dimi Moonburst"]
[12 "Emerald Dimi Moonburst"]
[13 "Lat Moonburst"]
[14 "Diamond Lat Moonburst"]
[15 "Opal Lat Moonburst"]
[16 "Sapphire Lat Moonburst"]
[17 "Ruby Lat Moonburst"]
[18 "Garnet Lat Moonburst"]
[19 "Emerald Lat Moonburst"]
[20 "Astral Swirl"]
[21 "Diamond Astral Swirl"]
[22 "Opal Astral Swirl"]
[23 "Sapphire Astral Swirl"]
[24 "Ruby Astral Swirl"]
[25 "Garnet Astral Swirl"]
[26 "Emerald Astral Swirl"]
[27 "Astral Seal"]
[28 "Diamond Astral Seal"]
[29 "Opal Astral Seal"]
[30 "Sapphire Astral Seal"]
[31 "Ruby Astral Seal"]
[32 "Garnet Astral Seal"]
[33 "Emerald Astral Seal"]
[34 "Swift Cut"]
[35 "Diamond Swift Cut"]
[36 "Opal Swift Cut"]
[37 "Sapphire Swift Cut"]
[38 "Ruby Swift Cut"]
[39 "Garnet Swift Cut"]
[40 "Emerald Swift Cut"]
[41 "Knife Juggle"]
[42 "Diamond Knife Juggle"]
[43 "Opal Knife Juggle"]
[44 "Sapphire Knife Juggle"]
[45 "Ruby Knife Juggle"]
[46 "Garnet Knife Juggle"]
[47 "Emerald Knife Juggle"]
[48 "Assassinate"]
[49 "Diamond Assassinate"]
[50 "Opal Assassinate"]
[51 "Sapphire Assassinate"]
[52 "Ruby Assassinate"]
[53 "Garnet Assassinate"]
[54 "Emerald Assassinate"]
[55 "Shadowstep"]
[56 "Diamond Shadowstep"]
[57 "Opal Shadowstep"]
[58 "Sapphire Shadowstep"]
[59 "Ruby Shadowstep"]
[60 "Garnet Shadowstep"]
[61 "Emerald Shadowstep"]
[62 "Full Moon"]
[63 "Diamond Full Moon"]
[64 "Opal Full Moon"]
[65 "Sapphire Full Moon"]
[66 "Ruby Full Moon"]
[67 "Garnet Full Moon"]
[68 "Emerald Full Moon"]
[69 "Dark Wave"]
[70 "Diamond Dark Wave"]
[71 "Opal Dark Wave"]
[72 "Sapphire Dark Wave"]
[73 "Ruby Dark Wave"]
[74 "Garnet Dark Wave"]
[75 "Emerald Dark Wave"]
[76 "Spinning Leap"]
[77 "Diamond Spinning Leap"]
[78 "Opal Spinning Leap"]
[79 "Sapphire Spinning Leap"]
[80 "Ruby Spinning Leap"]
[81 "Garnet Spinning Leap"]
[82 "Emerald Spinning Leap"]
[83 "Shadow Barrier"]
[84 "Diamond Shadow Barrier"]
[85 "Opal Shadow Barrier"]
[86 "Sapphire Shadow Barrier"]
[87 "Ruby Shadow Barrier"]
[88 "Garnet Shadow Barrier"]
[89 "Emerald Shadow Barrier"]
[90 "Twirling Rose"]
[91 "Diamond Twirling Rose"]
[92 "Opal Twirling Rose"]
[93 "Sapphire Twirling Rose"]
[94 "Ruby Twirling Rose"]
[95 "Garnet Twirling Rose"]
[96 "Emerald Twirling Rose"]
[97 "Falling Petal"]
[98 "Diamond Falling Petal"]
[99 "Opal Falling Petal"]
[100 "Sapphire Falling Petal"]
[101 "Ruby Falling Petal"]
[102 "Garnet Falling Petal"]
[103 "Emerald Falling Petal"]
[104 "Lily Blossom"]
[105 "Diamond Lily Blossom"]
[106 "Opal Lily Blossom"]
[107 "Sapphire Lily Blossom"]
